RT @EgyTweets RT @CandiCunningham : There are more pyramids in Peru than in Egypt #coolfacts	[u'http://en.wikipedia.org/wiki/Egypt', u'http://en.wikipedia.org/wiki/Peru']
FACT : Dr. William Moulton Marston , the man who created Wonder Woman , also designed an early lie detector .	[u'http://en.wikipedia.org/wiki/William_Moulton_Marston', u'http://en.wikipedia.org/wiki/The_Man_Who_Shot_Liberty_Valance', u'http://en.wikipedia.org/wiki/William_Moulton_Marston', u'http://en.wikipedia.org/wiki/William_Holden']
FIFA 11 on xbox 360 nice 1 bro !. :D	[u'http://en.wikipedia.org/wiki/FIFA_11', u'http://en.wikipedia.org/wiki/Xbox_360']
RT @OMGFacts : 300 million years ago , the United Kingdom was located at the Equator . It's climate was like Central Africa is now .	[u'http://en.wikipedia.org/wiki/United_Kingdom', u'http://en.wikipedia.org/wiki/Africa']
RT @cnnbrk : Tour bus in which 8 U.S. #tourists died in Aswan , #Egypt , crashed into parked dump truck loaded with sand . http://on.cnn.com ...	[u'http://en.wikipedia.org/wiki/Case_citation', u'http://en.wikipedia.org/wiki/Egypt', u'http://en.wikipedia.org/wiki/Aswan_Dam']
Dimitar Berbatov scored twice as Manchester United eased past Sunderland to stay firmly in control of the Premier League title race .	[u'http://en.wikipedia.org/wiki/Premier_League', u'http://en.wikipedia.org/wiki/Glazer_ownership_of_Manchester_United', u'http://en.wikipedia.org/wiki/Dimitar_Berbatov', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League', u'http://en.wikipedia.org/wiki/Sunderland,_Tyne_and_Wear', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League']
In 1972 , the 33rd president of the United States , Harry S . Truman , died in Kansas City , Mo ., at age 88 .	[u'http://en.wikipedia.org/wiki/United_States_Navy', u'http://en.wikipedia.org/wiki/Mighty_Mo_(kickboxer)', u'http://en.wikipedia.org/wiki/Harry_S._Truman', u'http://en.wikipedia.org/wiki/University_of_Missouri%E2%80%93Kansas_City', u'http://en.wikipedia.org/wiki/Harry_S._Truman']
In 2006 , former President Gerald R . Ford died in Rancho Mirage , Calif ., at age 93 .	[u'http://en.wikipedia.org/wiki/Nissan_GT-R', u'http://en.wikipedia.org/wiki/Rancho_Mirage,_California', u'http://en.wikipedia.org/wiki/California', u'http://en.wikipedia.org/wiki/Gerald_R._Ford_Presidential_Library', u'http://en.wikipedia.org/wiki/Ford_GT40']
Luchino Visconti directed Marcello Mastroianni , Anna Karina and Bernard Blier in " The Stranger " ( 1967 ) http://is.gd/jvtUQ	[u'http://en.wikipedia.org/wiki/Anna_Karina', u'http://en.wikipedia.org/wiki/Luchino_Visconti', u'http://en.wikipedia.org/wiki/Rachel_and_the_Stranger', u'http://en.wikipedia.org/wiki/Marcello_Mastroianni', u'http://en.wikipedia.org/wiki/Bernard_Blier']
Manchester United maintained their Premier League leadership with a routine 2-0 win against Sunderland at Old Trafford .	[u'http://en.wikipedia.org/wiki/Premier_League', u'http://en.wikipedia.org/wiki/Glazer_ownership_of_Manchester_United', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League', u'http://en.wikipedia.org/wiki/Sunderland,_Tyne_and_Wear']
Michael Caton-Jones directed Liam Neeson , Jessica Lange and John Hurt in " Rob Roy " ( 1995 ) http://is.gd/jvJ0w	[u'http://en.wikipedia.org/wiki/John_Hurt', u'http://en.wikipedia.org/wiki/Michael_Caton-Jones', u'http://en.wikipedia.org/wiki/Jessica_Lange', u'http://en.wikipedia.org/wiki/Jessica_Lynch', u'http://en.wikipedia.org/wiki/Rob_Roy_(1995_film)', u'http://en.wikipedia.org/wiki/Liam_Neeson']
RT @rolandsmartin : Mike Gardner , the manager of @teenamarie , just told me that it is true : the legendary R&B singer has indeed died .	[u'http://en.wikipedia.org/wiki/Hot_R%26B/Hip-Hop_Songs', u'http://en.wikipedia.org/wiki/Mike_Gardner']
RT @AJEnglish : Snakes creeping out Bangkok : As the capital of Thailand continues growing , it is encroaching on the habitat of t ... http : ...	[u'http://en.wikipedia.org/wiki/Bangkok', u'http://en.wikipedia.org/wiki/Thailand']
RT @IMDb : Congratulations are in order for Natalie Portman , who's engaged to choreographer Benjamin Millepied , and pregnant too http://i ...	[u'http://en.wikipedia.org/wiki/Benjamin_Millepied', u'http://en.wikipedia.org/wiki/Natalie_Portman']
RT @HackneyAbbott : David Milliband becomes " Our Man in Washington " Consolation prize for losing Labour leadership . http://t.co/CEJmA2k	[u'http://en.wikipedia.org/wiki/Washington,_D.C.', u'http://en.wikipedia.org/wiki/David']
RT @AS_carrusel : PREMIER LEAGUE . Gol : Manchester C . 2 ( Lescott min . 13 ) - Aston Villa 0	[u'http://en.wikipedia.org/wiki/Janusz_Gol', u'http://en.wikipedia.org/wiki/Aston_Villa_F.C.', u'http://en.wikipedia.org/wiki/Aston_Villa_F.C.', u'http://en.wikipedia.org/wiki/Premier_League', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League', u'http://en.wikipedia.org/wiki/Aston_Villa_F.C.', u'http://en.wikipedia.org/wiki/Mercedes-Benz_C-Class', u'http://en.wikipedia.org/wiki/Manchester_City_F.C.', u'http://en.wikipedia.org/wiki/Joleon_Lescott', u'http://en.wikipedia.org/wiki/Manchester_City_F.C.', u'http://en.wikipedia.org/wiki/2008%E2%80%9309_Premier_League']
WP Opinion : Mohamed ElBaradei • Egypt's real state of emergency is its repressed democracy http://is.gd/jFYCk	[u'http://en.wikipedia.org/wiki/Egypt', u'http://en.wikipedia.org/wiki/Opinion_poll', u'http://en.wikipedia.org/wiki/Mohamed_ElBaradei']
RT @ebertchicago : Sam Peckinpah died in 1984 . I was at the Bahamas junket when " The Wild Bunch " stirred froths of rage . http://bit.ly/9KSZ1S	[u'http://en.wikipedia.org/wiki/The_Bahamas', u'http://en.wikipedia.org/wiki/The_Wild_Bunch', u'http://en.wikipedia.org/wiki/Sam_Peckinpah']
RT @USDOL : DOL awards nearly $20 million to combat exploitive child labor in Bolivia , Egypt and Jordan [ 12/29/2010 ] http://bit.ly/hIVGai	[u'http://en.wikipedia.org/wiki/Egypt', u'http://en.wikipedia.org/wiki/Bolivia', u'http://en.wikipedia.org/wiki/Jordan', u'http://en.wikipedia.org/wiki/Holi']
RT @museummedia : RT @PostalMuseum Wonderful video , " History of U.S. Postage , " created by design student Catheryn Davenel : http://ht.ly/3vPBT	[u'http://en.wikipedia.org/wiki/Case_citation']
Gillian Armstrong directed " Love , Lust & Lies " ( 2009 ) http://is.gd/jJ7R5	[u'http://en.wikipedia.org/wiki/Gillian_Armstrong']
RT @CraftGossip : Top 10 Projects from 2010 : Shellie , the owner of Craft Gossip , was kind enough to let me start the Home & Garden ... htt ...	[u'http://en.wikipedia.org/wiki/Gossip', u'http://en.wikipedia.org/wiki/Craft', u'http://en.wikipedia.org/wiki/Royal_Opera_House', u'http://en.wikipedia.org/wiki/Shellie_Morris']
RT @governpoint : William Greider's critique of the traditional media's Social Security failure : Via digby , Nyhan Prize winner and ... htt ...	[u'http://en.wikipedia.org/wiki/Pitchfork_Media', u'http://en.wikipedia.org/wiki/Mari%C3%A9_Digby', u'http://en.wikipedia.org/wiki/Via_Rail', u'http://en.wikipedia.org/wiki/Mercury_Prize', u'http://en.wikipedia.org/wiki/William_Greider']
RT @BreakingNews : Explosion reported at a Coptic church in Alexandria , Egypt ; several killed - BBC.com http://bbc.in/exGCJo	[u'http://en.wikipedia.org/wiki/Egypt', u'http://en.wikipedia.org/wiki/Coptic_Orthodox_Church_of_Alexandria']
Watching " Collateral " ( 2004 ) with Tom Cruise Jamie Farr . Never saw it except bits and pieces . Good Hyper-Action --- http://imdb.to/hFK4uy	[u'http://en.wikipedia.org/wiki/Jamie_Farr', u'http://en.wikipedia.org/wiki/Tom_Cruise']
Istanbul thrives as the new party capital of Europe http://t.co/I2M3d69 via @guardian	[u'http://en.wikipedia.org/wiki/Europe', u'http://en.wikipedia.org/wiki/Istanbul']
RT @ReutersMoney : Iran says no gap in oil exports to India http://in.reuters.com/article/idINIndia-53879120110102	[u'http://en.wikipedia.org/wiki/Iran', u'http://en.wikipedia.org/wiki/India']
Kenneth Branagh directed Robert De Niro , himself and Helena Bonham Carter in " Frankenstein " ( 1994 ) . http://is.gd/jYBun	[u'http://en.wikipedia.org/wiki/Helena_Bonham_Carter', u'http://en.wikipedia.org/wiki/Robert_De_Niro', u"http://en.wikipedia.org/wiki/Mary_Shelley's_Frankenstein_(film)", u'http://en.wikipedia.org/wiki/Kenneth_Brown_(pastoralist)', u'http://en.wikipedia.org/wiki/Kenneth_Branagh', u'http://en.wikipedia.org/wiki/Robert_De_Niro']
RT @Mrityunjoykjha : King George 5 of Eng announced , in 1911 , the transfer of the capital of British India from Calcutta to Delhi . ...	[u'http://en.wikipedia.org/wiki/England_national_rugby_union_team', u'http://en.wikipedia.org/wiki/University_of_Delhi', u'http://en.wikipedia.org/wiki/United_Provinces_of_British_India', u'http://en.wikipedia.org/wiki/Bride_and_Prejudice', u'http://en.wikipedia.org/wiki/George_VI', u'http://en.wikipedia.org/wiki/Calcutta_Cup']
RT @artinfodotcom : The late Malcom McLaren on his film " Paris , Capital of the 21st Century " and why the old guys are the most radical : h ...	[u'http://en.wikipedia.org/wiki/Paris', u'http://en.wikipedia.org/wiki/Malcolm_McLaren', u'http://en.wikipedia.org/wiki/Malcom,_Iowa']
RT @IMDb : More sad news ... Actress Annie Francis , best known for ' Forbidden Planet ' , died Sunday at age 80 . http://imdb.to/gJHRyX #resti ...	[u'http://en.wikipedia.org/wiki/Annie_Get_Your_Gun_(musical)', u'http://en.wikipedia.org/wiki/Return_to_the_Forbidden_Planet']
When I used to hear Donnell Jones " Where I'll Go " it was time to turn off my TAPE before it played Lucy Pearl " s Dance 2nite video !!	[u'http://en.wikipedia.org/wiki/Donell_Jones', u'http://en.wikipedia.org/wiki/Lucy_Pearl']
Texas A & M d . Abilene Christian , 5-3 in exhibition . Other than dubs for ACU , Jake Hendrie d Calon Alpar 76 76 in all-centex match	[u'http://en.wikipedia.org/wiki/Jake_Peavy', u'http://en.wikipedia.org/wiki/Christian_rock', u'http://en.wikipedia.org/wiki/Doctorate', u'http://en.wikipedia.org/wiki/Abilene_Christian_University', u'http://en.wikipedia.org/wiki/Texas_A%26M_University', u'http://en.wikipedia.org/wiki/House_(TV_series)', u'http://en.wikipedia.org/wiki/Army_Combat_Uniform', u'http://en.wikipedia.org/wiki/Abilene_Christian_Wildcats', u'http://en.wikipedia.org/wiki/Texas_A%26M_University']
Notre Dame vs Marquette Live NCAA Basketball Stream Online TV Link ... : Watch basketball match live online on yo ... http://bit.ly/gxvDL3	[u'http://en.wikipedia.org/wiki/Marquette_Golden_Eagles', u'http://en.wikipedia.org/wiki/Scott_Pilgrim_vs._the_World', u'http://en.wikipedia.org/wiki/Notre_Dame_Fighting_Irish_football', u'http://en.wikipedia.org/wiki/Carol_Stream,_Illinois']
Australia Vs England live free 3rd One Day International Cricket match ... http://ff.im/wGZDo	[u'http://en.wikipedia.org/wiki/Professional_wrestling_match_types', u'http://en.wikipedia.org/wiki/England_national_football_team']
#tennis Amazing match between Schiavone vs Kuznetsova . Epic match !	[u'http://en.wikipedia.org/wiki/Svetlana_Kuznetsova', u'http://en.wikipedia.org/wiki/Francesca_Schiavone']
Schiavone beats Kuznetsova 16-14 in the third .... the prize .... a match against the Kangaroo fighter herself Caroline Wozniacki	[u'http://en.wikipedia.org/wiki/Svetlana_Kuznetsova', u'http://en.wikipedia.org/wiki/Caroline_Wozniacki', u'http://en.wikipedia.org/wiki/Francesca_Schiavone']
6 - Udinese have scored two or more goals in each of their last six league fixtures , including today's match against Inter . Good form	[u'http://en.wikipedia.org/wiki/Udinese_Calcio', u'http://en.wikipedia.org/wiki/Inter_Milan']
Manchester United manager Sir Alex Ferguson pushes Wayne Rooney to match ... - Goal.com http://bit.ly/fe4vrg	[u'http://en.wikipedia.org/wiki/Alex_Ferguson', u'http://en.wikipedia.org/wiki/Glazer_ownership_of_Manchester_United', u'http://en.wikipedia.org/wiki/Wayne_Rooney']
Francesca Schiavone made history today as she was part of the longest women's match in Grand Slam history ,... http://tinyurl.com/45679qn	[u'http://en.wikipedia.org/wiki/Grand_Slam_(tennis)', u'http://en.wikipedia.org/wiki/Francesca_Schiavone']
Blackburn 1-0 West Brom at the break - half time match report here : http://bit.ly/igWFDk	[u'http://en.wikipedia.org/wiki/West_Bromwich', u'http://en.wikipedia.org/wiki/West_Ham_United_F.C.', u'http://en.wikipedia.org/wiki/West_Bromwich', u'http://en.wikipedia.org/wiki/Blackburn_Rovers_F.C.']
Jacqueline Obradors - IMDb : Jacqueline Obradors , Actress : Six Days Seven Nights . Born in the San Fernando ... http://tinyurl.com/4qhagdq	[u'http://en.wikipedia.org/wiki/Jacqueline_Obradors', u'http://en.wikipedia.org/wiki/Internet_Movie_Database', u'http://en.wikipedia.org/wiki/Six_Days_Seven_Nights', u'http://en.wikipedia.org/wiki/San_Fernando_Valley']
And the recap in English : Handball World Championships - Denmark beat Argentina 31-24 and are ready for the semis with one group match left !	[u'http://en.wikipedia.org/wiki/1986_FIFA_World_Cup', u'http://en.wikipedia.org/wiki/Argentina_v_England_(1986_FIFA_World_Cup)', u"http://en.wikipedia.org/wiki/2011_World_Men's_Handball_Championship", u'http://en.wikipedia.org/wiki/Denmark_national_football_team']
Half time : Sampdoria 0-0 Juventus ..... Dry match ......... * yawns *	[u'http://en.wikipedia.org/wiki/U.C._Sampdoria', u'http://en.wikipedia.org/wiki/Juventus_F.C.']
Mark Schwarzer is one match away from equalling Alex Tobin's 87 #Socceroos caps record ! #ac2011	[u'http://en.wikipedia.org/wiki/Mark_Schwarzer', u'http://en.wikipedia.org/wiki/Alex_Tobin']
Schiavone wins marathon match a	[u'http://en.wikipedia.org/wiki/Francesca_Schiavone']
