@Jessica_Chobot did you see the yakuza vs zombies .... smh but cool at the same time	the yakuza	{'the yakuza': '/en/the_yakuza'}
@lofolulu RT @couponprincess : Please vote for me to be a Deal Pro in Chicago in November ! TY http://bit.ly/cgmnoX - DO WHAT @LOFOLULU SAYS !	TY||Chicago	{'TY': '/en/ty_conklin', 'Chicago': '/en/chicago_blackhawks'}
four months <3		{}
One day the things i say and do is gonna get me a nice slap ..		{}
@geek @borkware Somehow my iPad in Airplane mode with WiFi off has no problem connecting to internet . Time for a wipe or downgrade .	iPad	{'iPad': '/en/ipad'}
@alyaffair Lol , that's not going to solve your problems . When you sober up again , they're going to back .		{}
@aprildenay Quit messing with ut ... every time you take the cotton out you break the clots keeping it from bleeding goober head !	ut	{'ut': '/en/utah'}
15 million children die of hunger every year . Heed the call to end #world #hunger : http://linkbee.com/D8RKT via @here4cause		{}
#October Iron Man 2 ( Three-Disc Blu-ray/DVD Combo + Digital Copy ) Starring : Robert Downey Jr. , Mickey Rourke Direc ... http://bit.ly/a6iCPn	Iron Man||Mickey Rourke||Robert Downey Jr.||Robert||Digital Copy||Downey	{'Iron Man': '/en/iron_man_2008', 'Mickey Rourke': '/en/mickey_rourke', 'Robert Downey Jr.': '/en/robert_downey_jr', 'Robert': '/en/robert_de', 'Digital Copy': '/en/digital_copy', 'Downey': '/en/robert_downey_jr'}
i'll miss yooouuu my aunty tersayangg .... See U next Time yah ... Mmuah : *		{}
@BeliebinMinajj OMG MILLIONS it was on repeat yesterday all day till my last lesson and then around 9pm i put it back and then its been on	and then||all day	{'and then': '/en/and_then_there_were_three', 'all day': '/en/all_day_with_it'}
Sitting here feeling awful with hayfever/headcold/sinusinfection but the sunshine is lovely . Can't feel too bad with such a nice day .		{}
bahahah i think i'm over hyper today xD		{}
i wonder if our football team is gonna win their game today ...		{}
HAVE YOU HEARD DJ STRATEGY IS NOW AT VISIONS LOUNGE IN HICKORY , NC ON WEDNESDAY'S NIGHTS ... WOW !! DONT MISS IT !	NC||DJ||HICKORY	{'NC': '/en/north_carolina', 'DJ': '/en/disc_jockey', 'HICKORY': '/en/hickory'}
Best day of school :) haha i want a popsycle : x		{}
Performing on Thursday , Sept . 23 at 11:00 a.m. in the Student Centre at Centennial College ( Progress Campus ) in Scarborough . @ccsai	Scarborough||Sept||Centennial College	{'Scarborough': '/en/scarborough_canada', 'Sept': '/en/sept', 'Centennial College': '/en/centennial_college'}
@x_Jamelia_x When r u gona realise we dont want u on our tvs ?? To prove my point enter ur name into search .. Uve had ur 15mins !		{}
@Laylaloves Well Im Irish and I couldnt stand her in the programme even before " waterfight/braless gate " !! She jus seemd sniddy !		{}
@Komanapalli people believe what you say when you demonstrate reliability as a source of knowledge .		{}
Saw some people from my past over at the school today . They all remembered me . :)		{}
RT @therealadamwest : Sunday is my birthday . 82 years young ! What should I wear ? ( don't say birthday suit ! )		{}
@justinbieber When you smile I smile ... seriously I do !!!!		{}
@ZhouMaharet I haven't for a long ass time		{}
omg tomorrow we meet , it will be good to see you again		{}
@DeezyWest raiders get there first win this sunday #Predictions		{}
What should you do when you're sued . Here are a few tips . http://www.calitigationblog.com/2010/09/articles/what-to-do-when-you-are-sued/		{}
My few followers ..! What's up ..? ( : I kind of got in trouble today lol ... Just helps me remember I'm still a human . Imperfectly perfect ..!! ( :		{}
Hurry up ! Brandy will be Leaving in 2 days ! - #Eskorte and #Massasje i #Norge	Brandy	{'Brandy': '/en/brandy'}
going to the mall with my momma , then church after this is a big'o challenge for the next 3 days encounter here I come lets see what happens		{}
Right arm Rousseff , Erenice War , 51 years , became chief minister of the Civil House in April this year	House||War||Rousseff	{'House': '/en/habsburg', 'War': '/en/world_war_i', 'Rousseff': '/en/dilma_rousseff'}
thank god its fucking friday	god	{'god': '/en/god'}
@OmegaWife5 exhaustingly long lol :) how has yours been ?		{}
I was there on Tuesday !! heheRT @devialicious : otw pelabuhan ratu		{}
@JustBmoss hey hub how u been haven't seen u since my Love days lol		{}
@snarkobabble I'll look for you tonight ! #wineparty		{}
RT @WScottsdale : What's happening at @WScottsdale the rest of the month ? Check out our September Happenings ! http://bit.ly/WHapps		{}
I'm so excited about going out tonight no work yea .... Badd Badd Badd Badd girls . Let's gooooooooooo		{}
ahhh that made my day (: i would say something stupid like that :D		{}
Jan Brewer : Beheadings ? http://bit.ly/a2LBMP	Jan Brewer	{'Jan Brewer': '/en/jan_brewer'}
Lol girrrrrrl . I'm very lucky but everything is work . Yours will come when its supposed to RT @_katesit_ Can't ( cont ) http://tl.gd/63aq2c		{}
Most of time his love to us is one way . I always complained that I can't feel where he is . But the problem was not him , it was me .		{}
RT @wkeving : Check out @slidedeck powerful Web Slider . Follow + RT to enter for a Free Pro version each day in Sept http://bit.ly/SDcontest	Web||Sept||Slider	{'Web': '/en/world_wide_web', 'Sept': '/en/september_11_2001_attacks', 'Slider': '/en/mobile_phone_form_factors'}
@shaikhamah oh yeah 30th . Sorry I am lost in time , my apologies m (._.) m		{}
next few weeks are going to be hectic between traveling and knee surgery when i get back		{}
Not awful ... going to start fresh this week :-) Soo hungry !		{}
@wildflower94 hw =/ i cant wate til summer !!! This year us guna b a mess		{}
Goodnight and may peace be upon you and yours . <3		{}
@Jee_agustino :O seriously even when you do not want ?		{}
Im starting to hate verizon . I normally have one bar or no bars . But i sure have 4 bars for ev all the time .. . . . Stupid	ev||verizon	{'ev': '/en/evolution-data_optimized', 'verizon': '/en/verizon_wireless'}
RT @DouchebagMovie : Come to " DOUCHEBAG LOS ANGELES OPENING WEEKEND EXTRAVAGANZA " Friday , October 8 at 7:30 pm until < br / > Saturday ...	October||LOS ANGELES	{'October': '/en/october_revolution', 'LOS ANGELES': '/en/los_angeles'}
@jonronson Ask yourself what the Mail on Sunday would do , and do the opposite .	Mail on Sunday	{'Mail on Sunday': '/en/daily_mail'}
RT @GaidaAbuSaleh : my 1997th tweet goes to ....... @LIDIAABUSALEH , i would like to thank lidia , for being born on the 1997th year . thank you .	lidia	{'lidia': '/en/lidia_bastianich'}
party today <3 :) happy birthday florence <3	florence	{'florence': '/en/florence'}
Today is my oldest daughters 13th birthday . Really don't know what to think about her being a " teenager " . Except that I am really getting old .		{}
RT @TalibanTwon : RT @bigmatt3288 : The Birthday Celebration for The Boy @Talibantwon * Tonight * + #LaylaFridays = ZOOOVIE		{}
http://images2.fanpop.com/images/photos/3900000/Edward-100-year-virgin-twilight-series-3937647-510-755.jpg ADOGUEI ESSA IMAGEM	IMAGEM	{'IMAGEM': '/en/imagem'}
All caught up on @SHO_weeds ! After eating a full meal that was the next thing on my list to do after graduating !		{}
@xXLauraJXx ino i did tweet him b4 n justthen about kenny signing his book but it was today ive already missed it :(	kenny	{'kenny': '/en/kenny_mccormick'}
@jeffstinco where are you ??? =D hey when a new videochat on spcrew ??!!! ;)		{}
next Friday , the 24th both my bands are playing at Swayzes Venue . Please come support !!!	Venue	{'Venue': '/en/music_venue'}
I just took " Justin Bieber takes 2 months off career to finish school , He is a huge ... " and got : Part 3 ! Try it : http://tinyurl.com/246946v	Justin Bieber	{'Justin Bieber': '/en/justin_bieber'}
RT @shanejoneill : Another day of allday and night skating starting it out with This vanilla iced latte http://plixi.com/p/45648946		{}
RT @jaye403 : @BlackCanseco you know it is funny how those ppl want their heros remembered ... when the truth is are less than worthy		{}
@JazzLuvsJedward Yeah tomorrow's grand (: = yeah just email me cause I never go on msn ! I'll dm you <3	msn	{'msn': '/en/msn'}
Why is it that when we KNOW the batteries in a remote are dead , we push the buttons harder ?		{}
had a great day courtesy of my morning that I had talking to Rashad ... :)	Rashad	{'Rashad': '/en/aaliyah'}
Mac Sync Completed - September 17 , 2010 , 5:00 pm	Mac	{'Mac': '/en/macintosh'}
' Free ' ' Day 26 ' '' #nowplaying http://cpwr.me/c9GNpt		{}
IT'S FRIDAY I'M ( NOT ) IN LOVEEE		{}
My mum just had ago at me for not having a job when ive missed 2 years of school , and tbh if im gonna catch up i dont have time 4 a job !		{}
@playavolta haha it's not that bad now but when i was little i used to freak out so i would use the chewables that tasted like chalk .		{}
was on club penguin with @twilightmarisa till she decided to log of to go bed and leave me loool reminded me of my old cp days lol		{}
Our Favorite YouTube Videos This Week : The Drama Edition - Had any epic meltdowns this week ? You know , of the crying ... http://ow.ly/193oP5	YouTube	{'YouTube': '/en/youtube'}
#asdrakesays " what's a star when his most important fan is missing ? "		{}
@JodiWonderland @LeighWonderland @sharwonderland @kaseywonderland @CiCiWonderland You ladies were great today . Have a wicked weekend . xx		{}
@ahmong I'm thinking they trade him before the deadline and try to blow it up so they don't lose him for nothing .		{}
omg , i'm sooooo ready for tonight ! <3		{}
Any 1 know when season 3 True Blood is back on the telly ?		{}
@TripleThreat99 lol where u headed tonight ?		{}
RT @SavingGorillas : Kwiruka left her group several times after death of infant-unknown causes-late July ; last seen alive Aug 24 .	Aug	{'Aug': '/en/steyr_aug'}
RT @CarolynsOpinion : Daytime's oldest soap went off the air today after 54 years , so the WORLD stopped turning for 3 million viewers . Sh ...		{}
I've listened to Tenshi ni Fureta yo so many times that I'm starting to memorize the lyrics , and it's only been out for 4 days ! o.O	ni	{'ni': '/en/nickel'}
Surely mags will line up to feature . RT @peoplemag : Lindsay Lohan fails court-mandated drug test , faces more jail time http://ow.ly/2G3R2	court-mandated||Lindsay Lohan	{'court-mandated': '/en/school_prayer_amendment', 'Lindsay Lohan': '/en/lindsay_lohan'}
RT @hificlub Come get your blood flowing with @waxromeo & @fordinho at The Heartbeat tonight , or as we call it Hide-and-Go Sikh !		{}
Exhausted after a surprisingly busy ( and boozy day ) with @joemcelderry91 http://ow.ly/i/3TYe @whitneytweets @matthewlawton and Wonder Woman !		{}
RT @GreatestQuotes : " When everything seems to be going against you , remember that the airplane takes off against the wind , not with it . " ...		{}
Gonna for vocal solo on tuesday . T_T		{}
@MajorBerry Praying with ya that he answers & will be in Sweden , so you can meet him ! I met him 3 weeks ago & still thinking about it lol .	Sweden	{'Sweden': '/en/swedem'}
Prophet Muhammad [ peace & blessings of Allah be upon him ] said : " Take advantage of five matters before five other ... http://fb.me/A25CPleD	Muhammad||Allah	{'Muhammad': '/en/muhammad_ibn_jarir_al-tabari', 'Allah': '/en/abd_allah_ibn_abbas'}
I hate it when i forget that i wear glasses&i go to itch my eye&i hit my glasses -_- . not cool		{}
@lorymichael Good Night and God Bless . Sleep well honey See you tomorrow Bye bye I love you dear	I love you||God||Bye bye	{'I love you': '/en/i_love_you_to_death', 'God': '/en/god', 'Bye bye': '/en/bye_bye_love_1995'}
RT @ItsTheTeenLife : " HAHA , remember when you guys dated!'' '' Shut up ! NEVER EVER bring that up again!'' #ItsTheTeenLife	NEVER EVER||Shut up	{'NEVER EVER': '/en/never_ever', 'Shut up': '/en/shut_up_and_drive'}
RT @TheValarium : Online ticket sales for Ghostland Observatory extended until 6 PM EST due to high demand . Get them before they sell out ...	Ghostland Observatory	{'Ghostland Observatory': '/en/ghostland_observatory'}
Been a long week . Tired . Sleep now please .		{}
get ready to shop local !! RT @uniqueLA : BIG NEWS to start your weekend : Oct 22 @UniqueLA will be opening a store at @HDbuttercupLA .	Oct||BIG NEWS	{'Oct': '/en/hyoscyamine', 'BIG NEWS': '/authority/netflix/tiny/BVnTd'}
If I had known what I know now about truck drivers , I don't think I would have asked them to honk as much when I was younger .		{}
Fashion week ends with Ralph Lauren , Oscar de la Renta , Gwen Stefani & a Weir ... : -Coco Chanel " I design for the ... http://bit.ly/beBG9e	Weir||Ralph Lauren||Fashion week||Oscar de la Renta||Gwen Stefani	{'Weir': '/en/weir', 'Ralph Lauren': '/en/ralph_lauren', 'Fashion week': '/en/new_york_fashion_week', 'Oscar de la Renta': '/en/oscar_de_la_renta', 'Gwen Stefani': '/en/gwen_stefani'}
foi quando eu te encontrei , ouvindo o som do mar ( 8	mar	{'mar': '/en/morocco'}
Ha ha i try for you really hm lmao lame pretty day		{}
Alright yall im done add me on bbm again , this the last time pin : 22AF9362	bbm	{'bbm': '/en/bureau_of_broadcast_measurement'}
@littlesusie12 @4mike4ever I sending a goodnight to you that I love , to you that every day you give me so much ... love		{}
@sarahXtinchyBBK looool u hav made me want mcdz again an im tryin 2 stay off that had it all week an sounds nice :D x		{}
@Robo_Robb I see you #FF ' ing me . :O ( Also Matt will be saying thanks when he's at home :P )	Matt	{'Matt': '/en/matt_damon'}
RT @Sexstrology : Sagittarius is turned off when you play hard to get . They want it now .	Sagittarius	{'Sagittarius': '/en/sagittarius'}
@italylogue Was it you who sent out the Ginger Peach jam recipe ? Making some tonight w our fab #Colorado Palisades peaches . Mmmm ....	peaches||jam||Ginger||Peach||Palisades	{'peaches': '/en/peaches', 'jam': '/en/pearl_jam', 'Ginger': '/en/ginger_beer', 'Peach': '/en/peach_melba', 'Palisades': '/en/pacific_palisades'}
I've been waiting for band camp for a year but I'm not going . How ironic .		{}
RT @BeliebInCodyyy : @TheCodySimpson every minute , every second , every hour of the day iyiyi think of you143 <3	iyiyi	{'iyiyi': '/authority/musicbrainz/76d82e5d-75e7-4c23-bbb8-9e73a8d1aadf'}
A Hughie O'Donoghue painting , some great curvy pots and intricately illuminated Persian books .. time well spent in the Fitzwilliam .	Hughie||Fitzwilliam||Hughie O'Donoghue	{'Hughie': '/en/hughie_green', 'Fitzwilliam': '/en/fitzwilliam_museum', "Hughie O'Donoghue": '/authority/stanford/control/5480698'}
Of course , I was stunned . This , after all , was an inanimate object .		{}
Confronting my hoarder tendencies . If anyone wants 17 pairs of used size 9 mens Nikes from 10 years ago or 60 blank cassette tapes ...		{}
RT @ArianaGrande : Follow Friday @lushcosmetics ... Just got some yummyyyyy bubble bath goodies there . :) xxxxxx #FF		{}
Ciroc it is dnt have a move tonite but imma make 1		{}
before the season even starts i will not respond to any new found miami heat fans ...	miami heat	{'miami heat': '/en/miami_heat'}
@DanaTennille that's wazzup . congrats on your win in week 1 .		{}
I have made the tough decisions , always with an eye toward the bottom line . Perhaps it's time America was run like a business . Donald Trump	Donald Trump||America	{'Donald Trump': '/en/donald_trump', 'America': '/en/united_states'}
Stairs : One more chance to win Roger Waters tickets on KLH tonight between 6:15 & 6:45 !! http://fb.me/Jjp2pz4I	Roger Waters||KLH	{'Roger Waters': '/en/roger_waters', 'KLH': '/en/klh'}
And we had some amazing dessert wines too ! First time I've tried that , but now a convert . Will have to add wine to dessert from now on ! Yum !		{}
@TakeMeDownCHRIS he didnt say when .. he just said he workin on it & gonna release the full version to yeah3x soon !		{}
RT @aplusk : This made me laugh today http://bit.ly/bjOhom <--- courtesy of splurb . What made you laugh ?		{}
hai @ayuhastari sukses ya untuk ngehostnya today di inbox , sy gak bisa liat nih wajib ngantor .		{}
dnce 2 day at skool 2 dau wuz kinda corny evn doe i dnce a lil bit ugh bored lke always whn is ya gurl neva nt trin 2 fin sunthn 2		{}
Yesterday my son forgot his jacket at school . Today he remembered to bring home the jacket , but forgot his lunchbox .	my son||the jacket	{'my son': '/en/my_son_the_fanatic', 'the jacket': '/en/the_jacket'}
@iSUPPORTBIEBER IM SORRRRRRRRRRRRRRRRRRRRY </3 i have to go , her partys in a week and im on the dais !		{}
@marciaforbes When U dig grave always dig 2 . Like he wanted to diminish Brady & end up doing that to himself <> True .... Dat	Brady	{'Brady': '/en/the_brady_bunch'}
- FantasyPro.net offers a 100% Deposit Match and $5 in credits for each referral this week only ! Must deposit by 1pm ET Sunday Sept 19th .	Sept||Sunday Sept	{'Sept': '/en/september_11_2001_attacks', 'Sunday Sept': '/authority/discogs/release/83760'}
Stop by teh Nex-Tech and Nex-Tech Wireless tent at TailGreat tomorrow evening for Free ice cream , bottles of water and an FHSU foam finger .	Wireless	{'Wireless': '/en/wireless'}
What is everyone watching this weekend ? Twins ? Vikings ? anyone going to see Friday Night Lights ?	Friday Night Lights||Vikings	{'Friday Night Lights': '/authority/myspace/nbcfnl', 'Vikings': '/en/minnesota_vikings'}
RT @InspiredRobin : We have so much time and so little to do . Strike that , reverse it . -Roald Dahl	-Roald Dahl	{'-Roald Dahl': '/en/roald_dahl'}
Hydrating for the big game tomorrow :)		{}
@TrustL33 word im definitely gettin that the day it drops		{}
Owner says its cool . Trying to get info on when they'll be back in town now @AandLClothingCo		{}
Take this time to discover the treasures within you !		{}
Today I must make full use of the filter .. Please don't fail me today !		{}
@klutzy_girl @ratherastory I wrote 74,000 words in February .		{}
RT @davehodg : Pope says atheists pick & choose their morals . Correct . Today I will be frowning on child abuse & not having a problem wit ...	Pope	{'Pope': '/en/pope'}
RT @lil_jeezy_85 : Going live tonight and 2mmrow < what you performing somewhere ?		{}
FRIDAY Sept . 17 http://goo.gl/fb/83ib3	Sept	{'Sept': '/en/september_11_2001_attacks'}
5 Things You Need To Do Before Contacting A Professional Photographer http://goo.gl/fb/I7rBo #inourhead		{}
RT @LightCMS : Day 6 : Win 1 of 10 iPads from @LightCMS - RT to enter or read more http://speaklight.com/iPad		{}
RT @CobraCommander : When your precious country collapses , just remember , every pair of Crocs you bought contributed to the downfall .	Crocs	{'Crocs': '/en/crocs'}
#stupidnews An Entire Facebook Photo Album Captured in a Single Long Exposure Photograph [ Photography ] http://gizmo.do/9GeY0q	Facebook	{'Facebook': '/en/facebook'}
Jessica Simpson is PREGNANT !?! : Jessica Simpson is pregnant ?? Simpson is pregnant with her barely 4-month boyfrien ... http://bit.ly/aoempS	Jessica Simpson	{'Jessica Simpson': '/en/jessica_simpson'}
Free Speech Friday underway . Anything on your mind is fair game .. radio.woai.com k/w pags		{}
@TimothyJMoore Thnx , I'm glad they weren't totally ignored , but one isn't many when you think how many there are in the CofE !		{}
realy bored smack down tonite yay !! ( : mood : bored -_- ha !		{}
Now off for Sushi before Sundown		{}
New Trailer For Platinum Games ' Vanquish for PS3 , Xbox 360 : by Widro - September 17 , 2010 | Email the author Direc ... http://bit.ly/aCPM2x	Platinum||Platinum Games||Xbox 360||Games||PS3||Vanquish	{'Platinum': '/en/platinum_hits', 'Platinum Games': '/en/seeds_inc', 'Xbox 360': '/en/xbox_360', 'Games': '/en/2012_summer_olympics', 'PS3': '/en/ps3_media_server', 'Vanquish': '/en/aston_martin_v12_vanquish'}
man , why you have to grill under my AC unit . * turns it off * On a happier note , IT'S BBQ TIME .	BBQ	{'BBQ': '/en/barbecue'}
Thank you so very much EVERYONE for the lovely Friday Follows today - you are all too lovely :) Sorry I've not had time to reciprocate xXx	Thank you||the lovely	{'Thank you': '/en/thank_you_for_smoking', 'the lovely': '/en/the_lovely_bones'}
RT @Mirandreamer : " I tried to walk into target yesterday , I missed . "		{}
RT @bieberswag : you're a belieber when you know the word believer doesn't look right anymore .		{}
@till1025 how did you miss that ?! I've had it set to record for a week . I'll save it for when you come to cali	cali	{'cali': '/en/santiago_de_cali'}
RT @WakaFlocka1017 : SO WHEN I GET ON 106 N JOKE AROUND YALL TALK ABOUT ME LIKE A DOG SHAWTY BUT WHEN I BUY 30,000 WORTH SCHOOL SUPPLY N ...		{}
@FaeNathara Yes , well a HOOT absoroootly because I'm secretly a hoot , the rest of the time I'm serious ... don't tell anyone		{}
@keevaguilfoyle Wow congrats on your engagement Keeva , delighted for you & Dave !! ( Was a bit worried after his initial muted response ;-) )	Dave	{'Dave': '/en/dave_brubeck'}
RT @TeenThings : I love waking up in the middle of the night knowing i have more time to sleep . #teenthings #comedownwithlove	waking up||the night	{'waking up': '/en/waking_up_laughing', 'the night': '/en/only_by_the_night'}
Dems to voters : You may hate us , but GOP is worse ( AP ) AP - With just six weeks to avoid a possible election catastrophe , http://tiny.ly/wc5	AP||GOP	{'AP': '/en/associated_press', 'GOP': '/en/republican_party'}
@iansomerhalder before seeing you , I did not believe in the ancient gods ! Well , now I change my idea ! you are the God of perfection !!!!	God	{'God': '/en/god'}
Join Anya Kamenetz on Monday's #Mozilla #Drumbeat community call . DIY U and the future of education . http://mzl.la/azQO2g @anya1anya	Anya Kamenetz	{'Anya Kamenetz': '/en/anya_kamenetz'}
@camamay i thought u were there when i was coming !		{}
RT @Leonsays : Need a nice chill spot tonight , no hype ... Any suggestions ?		{}
RT @TeamShaneDawson : RT If you think @AntiShaneDawson is a 10 year old without a penis to play with so they hate on Shane instead :( :')	Shane	{'Shane': '/en/shane_mcmahon'}
BBL started tonight , EBL tmrw , Euroleague qualifiers tues but damn , i can haz NBA now ? League Pass withdrawal symptoms ......	League||EBL||Euroleague||Pass||NBA||League Pass	{'League': '/en/uefa_champions_league', 'EBL': '/en/english_basketball_league', 'Euroleague': '/en/euroleague_basketball', 'Pass': '/en/mountain_pass', 'NBA': '/en/nba_tv', 'League Pass': '/en/nba_league_pass'}
Twenty five after Seven	Seven	{'Seven': '/en/gramophone_record'}
@pdparticle How do you think your parents are able to help you with your homework ? It's because they learned the same thing years ago .		{}
@lovemj41042 yes agreed there are pro and cons in everything we do in life , and this is after all the greatest Human to have ever lived		{}
Next time you'll show restraint you don't get another chance life is no nintendo game but you lied again now you get to watch her leave	nintendo	{'nintendo': '/en/nintendo'}
CampaignMonitor denied list of < 600 names : client can't prove names not harvested fr Twitter/FB . Email'd to this same list when it was < 500		{}
SWEETY IM GONNA GIVe YOu THAT FUCKING 50000 WHEN I GET IT ! XD		{}
@ethernat You know me , if I can be kind and guilt you at the same time , well , my job is done :)	You know me||I can be	{'You know me': '/en/you_know_me', 'I can be': '/en/all_i_can_be'}
Great week for music with @blindoldfreak , UNKLE & @trent_reznor all putting out new releases . Amazing stuff . ** Support decent music **	UNKLE	{'UNKLE': '/en/unkle'}
RT @_RANGO_ : Hey y'all " East Nu , " round Two tonight . See y'all early ! (shit !!!! I should've stayed lol	East||Nu	{'East': '/en/middle_east', 'Nu': '/en/nu_metal'}
@TMCphotographs I know , but there are plenty of mid week programmes that I can take the piss out of now the winter is almost upon us . xx		{}
YEAH ! No jury duty . Yes class on Monday . still willing to send out study guides to those who send me an email request . sorgelaw@yahoo.com		{}
wore socks for second day in a row ... RIP Summer	Summer	{'Summer': '/en/2012_summer_olympics'}
Mayday Parade & The Maine in like 16 days , excitedddd . All time low next year , maybe .	The Maine||All time low||Mayday Parade	{'The Maine': '/en/the_maine', 'All time low': '/en/all_time_low', 'Mayday Parade': '/en/mayday_parade'}
RT @KaspervanKooten Naast de theatertour die komende week weer aanvangt ziet u mijn pan ook op tv : ma . Co-ass ., di . Opium en do . Koffi ...	Naast||Co-ass||Koffi	{'Naast': '/authority/myspace/lesnaast', 'Co-ass': '/en/noboru_iguchi', 'Koffi': '/en/kofi_olomide'}
@erutan Stanford's Robert Laughlin ( Nobel Physics1998 ) has a better explanation than I have time to provide rt now . http://bit.ly/9k1L4N	Robert||Robert Laughlin||Laughlin||Stanford	{'Robert': '/en/r_schumann', 'Robert Laughlin': '/en/tom_laughlin', 'Laughlin': '/en/laughlin', 'Stanford': '/en/charles_villiers_stanford'}
Yesterday's shoot was unreal . Today is just as sick ! Is that even possible ?!		{}
Ah , that has seriously made my day . :D @chrisbrown , iloveyousomuch ♥		{}
Our Favorite YouTube Videos This Week : The Drama Edition : Had any epic meltdowns this week ? You know , of the cryin ... http://bit.ly/cuy0yt	YouTube	{'YouTube': '/en/youtube'}
" why is it you always look seriously stoned when i see you ? " - - > Danny . lol good god ! (:	Danny	{'Danny': '/en/daniel_miguel_alves_gomes'}
Doctor's appointment and blood test today . %#$&@%$&%&@$ !!!!!!!		{}
RT @Sexstrology : Pisces tend to escape into fantasy and day dreams . There they are free . < yesss #wavesindexfingerintheair #AGREED ! ^10thpower	Pisces	{'Pisces': '/en/fish'}
@AyeoKitty ill txt you soon in a few minutes when i get a hold of my phone		{}
I just took " When your mom makes you go live with your dad Scooter Braun , your life turns ... " and got : Part 2 ! Try it : http://bit.ly/clxrMy	Braun	{'Braun': '/en/wernher_braun'}
Boo Boo , Ta and I had a girls day . She is such a wonderful baby .	Ta	{'Ta': '/en/a-4_skyhawk'}
were too much . MJ still had it but he was 50 years old at time . AEG just wanted more money off his name like everyone else @JackieJackson5	too much||AEG||MJ	{'too much': '/en/touch_too_much', 'AEG': '/en/aeg', 'MJ': '/en/mj_hibbett'}
dude got gucci symbol tatted all over his face http://mediacheckout.blogspot.com/2010/09/nuh-uhhhhhhh-yesterday-we-showed-you.html	gucci	{'gucci': '/en/gucci'}
@peterc83 night night good luck tomorrow x		{}
it's friday it's friday i'm so happy it's friday :: whooo yooo doing dance and takin a chance la la la lalala ::	friday	{'friday': '/en/wwe_friday_night_smackdown'}
imma get my homework done today :)		{}
RT @pastorbrady : Remember , every Sunday morning gathering at New Life can be watched live at 9am and 11am - www.NLCLive.com	Sunday morning	{'Sunday morning': '/en/cbs_news_sunday_morning'}
@xensweetie Ohhh we should do some shopping do you know what your wearing on Friday yet ?		{}
.. @Davman91 Thinks I'm Funny When I Tell The Punch Line Wrong ... ;)		{}
@BieberPaycee in like 3 days I think ... Well that's when the single's released :P		{}
Just changed my twitter background , check it out ! Found it at http://twitrounds.com .. September 17 , 2010 , 2:52 pm	twitter	{'twitter': '/en/twitter'}
Apparently #turningpoint has a hash-tag . And @RoundhouseLDN has a Twitter account . So with the formalities over ... see you tomorrow .	Twitter	{'Twitter': '/en/twitter'}
Where in the world is Gelato Gilberto ? Tonight the cart will be at Burning Bush Grille , 13206 W Highway 42 ,... http://fb.me/JIlT65a5	Highway 42||Gelato||Burning Bush||Grille||Gilberto||W	{'Highway 42': '/en/ghodbunder_road', 'Gelato': '/en/gelato', 'Burning Bush': '/en/burning_bush', 'Grille': '/en/nascar', 'Gilberto': '/en/gilberto_gil', 'W': '/en/george_w_bush'}
If Conn is less than impressed with chevre , he has a loyal ally in his grandscruffy , who finds it great when it's good -- which is rarely .	Conn	{'Conn': '/en/connecticut'}
@jeffstinco or @chuckcomeau follow me for make this bad day a HAPPY day :D love you guys !!!	love you||follow me||bad day	{'love you': '/en/hate_that_i_love_you', 'follow me': '/en/follow_me_home', 'bad day': '/en/bad_day_at_black_rock'}
" compare where you are to where you wanna be and you'll get nowhere " . Thanks for the reminder , Sara B . Focusing on the good . Show tonight !	Sara B||wanna be||B||where you are||Sara	{'Sara B': '/en/sara_bareilles', 'wanna be': '/en/i_wanna_be_where_you_are', 'B': '/en/hot_r_b_hip_hop_songs', 'where you are': '/en/i_wanna_be_where_you_are', 'Sara': '/en/sara_bareilles'}
@ls_n perhaps , but folks may find something in the gallery that is helpful in their day-to-day work as well . Even just to use it .		{}
I swear that i`ll hold on to that promise i made on the 17 of March 2010 .		{}
... if I didnt have to worry about $ I'd move to VT and buy some hogs and spend my days dropping LSD and taking long walks in gucci shoes ...	LSD||VT||gucci	{'LSD': '/en/lsd', 'VT': '/en/vermont', 'gucci': '/en/gucci'}
Eastern Bloc 25th b'day party kicking off now ! Get your tweets up , using the tag #botweast	Eastern Bloc	{'Eastern Bloc': '/en/eastern_bloc'}
Shooting sunset in #btv , time-lapse 5 sec . Intervals from Champlain campus . Pretty .	Champlain||campus	{'Champlain': '/en/lake_champlain', 'campus': '/en/campus'}
Just listened to a 24 y/o kid from japan who won the national flat picking championship flipping amazing r/l august rush	japan	{'japan': '/en/japan'}
starting to be temped to get an android device , but prob next gen after desire/desirehd/galaxy s . critical mass/commercial	android	{'android': '/en/gphone'}
@Maike_84 Flikken is geweldig ! Ik kan niet wachten tot de nieuwe serie in november .. ( geloof ik ) Dit jaar alles gezien via uitzendinggemist .	jaar||geweldig||Flikken	{'jaar': '/en/nicolas_jaar', 'geweldig': '/authority/musicbrainz/baec458e-78b5-4f06-a2ce-0731f8b3ae68', 'Flikken': '/en/flikken'}
When glass breaks , the cracks move faster than 3,000 miles per hour . To photograph it , a camera must shoot at a millionth of a second !		{}
